X,Y,OBJECTID,LOCATION,STATION,CODE,ADDRESS,ZIP,PASS_OP,PASS_NETWO,COMM_OP,COMM_NETWO,BUS_ROUTES,TRANSIT,AIRPORT,STATION_TY,INTERMODAL,DIST,CO
-13501397.3399,4571761.8009,155,Amtrak Station,STOCKTON,SKN,735 S. San Joaquin St.,95203,Amtrak,San Joaquin, , ,"3,6,34",San Joaquin RTD, ,5,1,10,SJ
-13501404.3816,4571742.5564,156,ACE Station,STOCKTON,SKT,North Aurora at East Weber Streets,95202,Amtrak,San Joaquin,SJRRC,ACE,"3,6,34",San Joaquin RTD, ,5,1,10,SJ
-13433248.3545,4230754.3166,157,Denny's Restaurant,ATASCADERO,ATA,6910 El Camino Real,93422, , , , ,"17,18a", , ,2,0,5,SLO
-13431316.3979,4201375.4058,158,Amtrak Station,SAN LUIS OBISPO,SLO,1011 Railroad Ave. at Santa Rosa,93401,Amtrak,"Coast Starlight,Pacific Surfliner", , ,"17,18a,21","San Luis Obispo RTA,SLO Transit", ,5,1,5,SLO
-13428356.343,4180445.8188,159,Amtrak Station,GROVER BEACH,GVB,150 Highway 1 at Grand Ave.,93433,Amtrak,Pacific Surfliner, , ,"17,18a,21", , ,3,1,5,SLO
-13434915.197,4248818.741,160,Amtrak Station,PASO ROBLES,PRB,Pine St. at 8th St.,93446,Amtrak,Coast Starlight, , ,"17,18,21", , ,3,1,5,SLO
-13379149.6633,4111129.3175,161,Burger King,BUELLTON,BUL,238 East Highway 246,93427, , , , ,"17,21", , ,2,0,5,SB
-13305123.2105,4082083.7867,162,Amtrak Station,CARPINTERIA,CPN,475 Linden Ave.,93013,Amtrak,Pacific Surfliner, , ,"4,10",Santa Barbara MTD, ,5,1,5,SB
-13422229.6244,4158543.0983,163,Amtrak Station,GUADALUPE,GUA,330 Guadalupe St. (HWY 1),93434,Amtrak,Pacific Surfliner, , ,17,Guadalupe Flyer, ,5,1,5,SB
-13409454.0222,4114891.1796,164,Visitor's Center,LOMPOC,LOM,111 South I St.,93436, , , , ,17, , ,2,0,5,SB
-13373895.8215,4109115.9424,165,Solvang Park,SOLVANG,SLV,1630 Mission Dr. at 1st St.,93463, , , , ,"17,21", , ,2,0,5,SB
-13404696.909,4157356.7133,166,Intl House of Pancakes,SANTA MARIA,SAT,Nicholson Ave. (US 101 @ Main St),93454, , , , ,"17,18a,21", , ,2,0,5,SB
-13425543.5848,4120841.9984,167,Amtrak Station,SURF/LOMPOC,LPS,End of Ocean Ave. at Surf Beach,93436,Amtrak,Pacific Surfliner, , , , , ,1,0,5,SB
-13532759.1285,4439726.8575,168,In Front of Caltrain Depot,GILROY,GLY,7250 Monterey Rd. at Depot St.,95020, , ,PCJPB,Caltrain,"21,55", , ,3,1,4,SCL
-13312409.5596,4544204.5945,169,Yosemite Village. Transfer point to park shuttles,YOSEMITE NATIONAL PARK,YOV,National Park Visitor Center,95389, , , , ,15, , ,2,0,10,MPA
-13549649.1139,4536711.8319,170,ACE Station,VASCO ROAD,VAS,575 South Vasco Road,94550, , ,SJRRC,ACE, , , ,1,0,4,ALA
-13567899.6344,4531316.9627,171,ACE Station,PLEASANTON,PLS,4950 Pleasanton Avenue,94566, , ,SJRRC,ACE, , , ,1,0,4,ALA
-13544355.9947,4409799.0716,172,Caltrans Park-and-Ride Lot,PRUNEDALE,PDL,Highway 156 and Hwy 101,93907, , , , ,55, , ,2,0,5,MON
-13057038.1699,4101172.3159,173,Victor Valley Transit Center/Greyhound Station,VICTORVILLE,VRB,16838 South D Street,92395, , , , ,12, , ,2,0,8,SBD
-12973735.1316,4005237.6691,174,Palm Springs Sunline Stop,PALM SPRINGS DOWNTOWN,PSS,Indian Canyon Dr and Andreas Rd,92262, , , , ,"19b,39", , ,2,0,8,RIV
-12945331.4779,3990088.4844,175,SunLine Transit Stop next to Eisenhower Occupational Health,LA QUINTA,LQT,78822 Highway 111,92253, , , , ,"19b,39", , ,2,0,8,RIV
-13002748.8001,4018314.2783,176,Morongo Casino Hotel Resort,CABAZON,CBZ,49500 Seminole Drive,92230, , , , ,"19b,39", , ,2,0,8,RIV
